"166","Eching, Niederbayern","48.5","12.0667","eching-niederbayern"
"167","Obersontheim","49.0567","9.89917","obersontheim"
"168","Bad Feilnbach","47.7833","12.0167","bad-feilnbach"
"169","Egenhofen, Kreis Fürstenfeldbruck","48.2833","11.1667","egenhofen-kreis-f-rstenfeldbruck"
"170","Bruchsal","49.1281","8.58361","bruchsal"
"171","Bad Endorf, Oberbayern","47.9","12.3","bad-endorf-oberbayern"
"172","Matzerath, Eifel","50.15","6.38333","matzerath-eifel"
"173","Casekow","53.2167","14.2167","casekow"
"174","Saarbrücken","49.2333","7","saarbr-cken"
"175","Mariaposching","48.8333","12.8","mariaposching"
"176","Nettersheim","50.5","6.63333","nettersheim"
"177","Affinghausen","52.7833","8.88333","affinghausen"
"178","Besigheim","48.9833","9.13333","besigheim"
"179","Lügde","51.95","9.25","l-gde"
"180","Bornheim, Rheinland","50.7667","7","bornheim-rheinland"
"181","Eggenthal, Schwaben","47.9167","10.5167","eggenthal-schwaben"
"182","Meßstetten","48.1833","8.96667","me-stetten"
"183","Schalksmühle","51.2333","7.53333","schalksm-hle"
"184","Wasserburg am Inn","48.0667","12.2333","wasserburg-am-inn"
"185","Diepholz","52.6","8.36667","diepholz"
"186","Pottenstein, Oberfranken","49.7722","11.4092","pottenstein-oberfranken"
"187","Hollenbach bei Aichach","48.4833","11.0667","hollenbach-bei-aichach"
"188","Osterstedt","54.1089","9.5733","osterstedt"
"189","Derental","51.7","9.43333","derental"
"190","Ochsenfurt, Unterfranken","49.65","10.0833","ochsenfurt-unterfranken"
"191","Obing","48","12.4167","obing"
"192","Schorndorf, Oberpfalz","49.1667","12.6","schorndorf-oberpfalz"
"193","Bad Heilbrunn","47.75","11.45","bad-heilbrunn"
"194","Bad Sachsa","51.6","10.55","bad-sachsa"
"195","Aichach an der Paar","48.4667","11.1333","aichach-an-der-paar"
"196","Leck","54.7719","8.97467","leck"
"197","Neustadt (Wied)","50.6167","7.43333","neustadt-wied"
"198","Bad Pyrmont","51.9833","9.25","bad-pyrmont"
"199","Löwenberger Land","52.8958","13.1729","l-wenberger-land"
"200","Pemfling","49.2667","12.6167","pemfling"
"201","Edertal","51.159","9.09231","edertal"
"202","Arnstein, Unterfranken","50","10","arnstein-unterfranken"
"203","Tann, Niederbayern","48.3167","12.9","tann-niederbayern"
"204","Donzdorf","48.6833","9.81667","donzdorf"
"205","Titz","51","6.41667","titz"
"206","Ferdinandshof, Vorpommern","53.6667","13.8833","ferdinandshof-vorpommern"
"207","Üxheim","50.35","6.75","xheim"
"208","Innernzell","48.85","13.2667","innernzell"
"209","Presseck","50.2333","11.55","presseck"
"210","Dielheim","49.2842","8.73806","dielheim"
"211","Gieleroth","50.6667","7.68333","gieleroth"
"212","Dortmund","51.5161","7.46833","dortmund"
"213","Hesel, Ostfriesland","53.3","7.6","hesel-ostfriesland"
"214","Haunetal","50.7667","9.66667","haunetal"
"215","Krummennaab","49.8333","12.1","krummennaab"
"216","Thyrnau","48.6167","13.5333","thyrnau"
"217","Dautphetal","50.8417","8.55417","dautphetal"
"218","Großenkneten","52.95","8.26667","gro-enkneten"
"219","Buttenheim","49.8","11.0333","buttenheim"
"220","Lam, Oberpfalz","49.2","13.05","lam-oberpfalz"
"221","Jork, Niederelbe","53.5322","9.68037","jork-niederelbe"
"222","Freudenstadt","48.4667","8.41667","freudenstadt"
"223","Pleiskirchen","48.3","12.6","pleiskirchen"
"224","Jüchen","51.1","6.5","j-chen"
"225","Langelsheim","51.9333","10.3333","langelsheim"
"226","Bonndorf im Schwarzwald","47.8167","8.35","bonndorf-im-schwarzwald"
"227","Ballstedt","51.05","11.2167","ballstedt"
"228","Gmund am Tegernsee","47.75","11.7333","gmund-am-tegernsee"
"229","Sternberg, Mecklenburg","53.7","11.8167","sternberg-mecklenburg"
"230","Geringswalde","51.0833","12.9167","geringswalde"
"231","Riedlingen (Württemberg)","48.15","9.46667","riedlingen-w-rttemberg"
"232","Kalletal","52.1222","8.96","kalletal"
"233","Glonn, Kreis Ebersberg, Oberbayern","47.9833","11.8667","glonn-kreis-ebersberg-oberbayern"
"234","Erlenbach am Main","49.8039","9.16389","erlenbach-am-main"
"235","Pettendorf, Oberpfalz","49.0667","12","pettendorf-oberpfalz"
"236","Freystadt, Oberpfalz","49.2006","11.3294","freystadt-oberpfalz"
"237","Mainleus","50.1","11.3833","mainleus"
"238","Wegscheid, Niederbayern","48.6","13.7833","wegscheid-niederbayern"
"239","Tännesberg","49.5333","12.3333","t-nnesberg"
"240","Weißensberg","47.5833","9.73333","wei-ensberg"
"241","Metten","48.8557","12.9152","metten"
"242","Markt Indersdorf","48.3667","11.3833","markt-indersdorf"
"243","Ankum","52.5411","7.87095","ankum"
"244","Langerwehe","50.8178","6.35959","langerwehe"
"245","Adlkofen bei Landshut, Isar","48.55","12.2667","adlkofen-bei-landshut-isar"
"246","Eiterfeld","50.7667","9.8","eiterfeld"
"247","Weiden in der Oberpfalz","49.6775","12.1567","weiden-in-der-oberpfalz"
"248","Vlotho","52.1667","8.85","vlotho"
"249","Schrobenhausen","48.55","11.2667","schrobenhausen"
"250","Baienfurt","47.8167","9.65","baienfurt"
"251","Stephanskirchen, Simssee","47.85","12.1833","stephanskirchen-simssee"
"252","Lauterbach (Hessen)","50.6333","9.4","lauterbach-hessen"
"253","Bippen","52.5833","7.73333","bippen"
"254","Rosendorf","50.7667","11.7833","rosendorf"
"255","Nuthetal","52.3406","13.1103","nuthetal"
"256","Munningen","48.9167","10.6","munningen"
"257","Polling, Kreis Mühldorf am Inn","48.2167","12.5667","polling-kreis-m-hldorf-am-inn"
"258","Domnitz","51.6333","11.8333","domnitz"
"259","Groß Pankow (Prignitz)","53.1167","12.05","gro-pankow-prignitz"
"260","Laufenburg (Baden)","47.5667","8.05","laufenburg-baden"
"261","Soyen","48.1167","12.2","soyen"
"262","Woggersin","53.6","13.2333","woggersin"
"263","Werder (Havel)","52.3833","12.95","werder-havel"
"264","Netphen","50.9167","8.1","netphen"
"265","Ulm (Donau)","48.4","10","ulm-donau"
"266","Heimenkirch","47.6167","9.91667","heimenkirch"
"267","Neresheim","48.75","10.35","neresheim"
"268","Schalkham bei Gerzen","48.4833","12.4167","schalkham-bei-gerzen"
"269","Brakel, Westfalen","51.7167","9.18333","brakel-westfalen"
"270","Velgast","54.2667","12.8","velgast"
"271","Glückstadt","53.7884","9.42393","gl-ckstadt"
"272","Lichtenau (Baden)","48.7333","8.01667","lichtenau-baden"
"273","Echzell","50.4","8.9","echzell"
"274","Auw bei Prüm","50.3","6.33333","auw-bei-pr-m"
"275","Nußdorf, Chiemgau","47.9","12.6","nu-dorf-chiemgau"
"276","Hayingen","48.2667","9.48333","hayingen"
"277","Ehingen an der Donau","48.2833","9.73333","ehingen-an-der-donau"
"278","Hennstedt / Dithmarschen","54.2831","9.16213","hennstedt-dithmarschen"
"279","Hohenburg, Oberpfalz","49.3","11.8","hohenburg-oberpfalz"
"280","Bissendorf, Kreis Osnabrück","52.2333","8.16667","bissendorf-kreis-osnabr-ck"
"281","Mönchenholzhausen","50.9667","11.15","m-nchenholzhausen"
"282","Höslwang","47.95","12.3333","h-slwang"
"283","Eichstätt, Bayern","48.8833","11.1833","eichst-tt-bayern"
"284","Bad Iburg","52.15","8.05","bad-iburg"
"285","Neubeuern","47.7667","12.15","neubeuern"
"286","Ihlow bei Jüterbog","51.8833","13.3333","ihlow-bei-j-terbog"
"287","Giesensdorf bei Ratzeburg","53.6885","10.714","giesensdorf-bei-ratzeburg"
"288","Emmendingen","48.1333","7.85","emmendingen"
"289","Rettenberg, Oberallgäu","47.5833","10.3","rettenberg-oberallg-u"
"290","Altenkunstadt","50.1333","11.25","altenkunstadt"
"291","Uhingen","48.7","9.58333","uhingen"
"292","Harth-Pöllnitz","50.7702","11.981","harth-p-llnitz"
"293","Aham, Vils","48.5333","12.4667","aham-vils"
"294","Meddewade","53.8096","10.4397","meddewade"
"295","Plattenburg","52.9568","12.0323","plattenburg"
"296","Rotthalmünster","48.35","13.2","rotthalm-nster"
"297","Heiden, Kreis Borken","51.8333","6.93333","heiden-kreis-borken"
"298","Burglengenfeld","49.2056","12.0414","burglengenfeld"
"299","Selbitz, Oberfranken","50.3167","11.75","selbitz-oberfranken"
